clone,build,package,packagetests,symbols,clobber,total
104,2883,28,15,617,140,3787
169,2937,27,15,617,188,3953
168,2932,28,14,620,189,3951
174,2962,29,14,622,191,3992
181,2951,27,16,624,201,4000
189,2947,28,16,626,197,4003
167,2943,29,14,626,189,3968
177,2905,28,13,637,190,3950
174,2884,26,12,657,193,3946
182,2887,29,13,609,201,3921
175,2899,28,13,617,196,3928
176,2895,28,15,625,196,3935
181,2896,27,15,625,198,3942
181,2894,27,15,621,188,3926
189,2900,27,13,620,186,3935
174,2888,29,14,627,198,3930
183,2880,28,13,628,195,3927
171,2882,29,12,626,184,3904
184,2886,28,16,630,195,3939
172,2891,29,12,628,198,3930
201,2904,28,14,614,192,3953
178,2902,29,14,628,193,3944
183,2903,28,13,623,187,3937
179,2891,30,13,632,192,3937
183,2895,29,14,628,191,3940
197,2900,27,16,627,193,3960
194,2893,28,12,629,187,3943
193,2887,29,14,630,190,3943
184,2878,28,14,642,193,3939
193,2878,27,21,652,205,3976
183,2891,29,13,613,205,3934
182,2897,28,14,614,196,3931
185,2912,27,14,611,195,3944
185,2902,27,14,615,198,3941
185,2903,28,15,619,187,3937
181,2897,27,13,624,207,3949
170,2894,27,13,632,196,3932
193,2882,29,14,636,198,3952
183,2888,29,12,621,192,3925
194,2883,29,14,636,216,3972
192,2897,28,14,615,208,3954
193,2898,28,14,618,203,3954
187,2899,28,15,640,185,3954
191,2914,28,15,613,190,3951
194,2895,28,13,615,204,3949
186,2898,29,14,619,186,3932
206,2897,27,15,634,197,3976
182,2893,27,12,649,189,3952
186,2895,28,15,638,191,3953
197,2883,30,13,636,197,3956
187,2898,29,15,645,200,3974
178,2896,29,13,612,191,3919
196,2902,27,20,633,192,3970
192,2910,28,16,637,216,3999
197,2899,28,14,618,186,3942
186,2901,29,13,620,203,3952
197,2902,27,13,623,197,3959
205,2901,28,15,637,214,4000
196,2888,30,15,644,194,3967
185,2877,29,13,645,210,3959
189,2902,29,15,622,213,3970
186,2909,28,14,624,222,3983
194,2909,29,13,618,194,3957
202,2901,27,15,640,192,3977
205,2902,27,13,623,193,3963
195,2911,26,14,632,195,3973
198,2888,29,14,631,188,3948
205,2890,30,13,661,168,3967
190,2892,29,12,649,199,3971
198,2886,29,14,670,194,3991
197,2905,27,17,657,194,3997
191,2918,30,14,642,195,3990
193,2904,28,14,645,205,3989
204,2911,28,15,654,197,4009
200,2904,28,14,632,198,3976
198,2901,27,16,651,192,3985
176,2911,28,14,674,191,3994
202,2901,29,13,677,196,4018
191,2906,29,13,657,196,3992
190,2927,29,14,640,204,4004
206,2930,29,14,654,207,4040
204,2915,29,14,646,210,4018
202,2930,29,14,635,197,4007
199,2931,30,13,654,218,4045
205,2910,29,13,671,207,4035
197,2908,30,12,679,186,4012
182,2908,30,15,680,192,4007
196,2914,28,13,710,208,4069
203,2928,27,14,643,194,4009
204,2926,29,16,638,199,4012
208,2926,29,14,644,205,4026
204,2925,28,14,668,207,4046
199,2921,28,16,671,194,4029
199,2934,31,15,649,200,4028
206,2925,30,13,668,202,4044
196,2921,28,18,679,208,4050
199,2940,29,14,643,210,4035
203,2936,29,15,641,217,4041
200,2943,31,14,670,211,4069
203,2938,29,14,644,206,4034
210,2944,29,15,674,191,4063
209,2941,30,14,657,212,4063
201,2951,29,15,681,208,4085
192,2943,27,18,713,210,4103
203,2967,30,13,642,218,4073
203,2962,29,14,642,205,4055
206,2958,29,14,641,214,4062
198,2954,29,13,643,209,4046
208,2968,29,14,650,201,4070
199,2973,30,13,676,203,4094
184,2959,32,12,686,215,4088
201,2978,29,16,710,221,4155
190,2975,27,17,684,208,4101
195,2975,31,14,640,220,4075
216,2991,31,14,652,211,4115
212,2972,31,16,686,218,4135
232,2975,32,15,672,199,4125
210,2972,31,14,679,213,4119
209,2982,31,15,677,193,4107
199,2977,28,16,683,214,4117
198,2973,30,13,645,217,4076
214,2969,30,19,645,217,4094
220,2969,32,44,652,216,4133
197,2974,31,13,670,192,4077
209,2978,31,14,656,225,4113
218,2986,30,13,694,221,4162
189,2986,26,19,691,213,4124
223,2982,31,14,647,212,4109
220,2990,30,14,644,209,4107
218,2983,30,14,642,217,4104
223,2986,28,12,686,207,4142
202,2971,32,12,702,205,4124
192,2989,30,15,685,221,4132
204,2969,29,16,649,217,4084
227,2974,30,14,643,239,4127
231,2994,30,15,640,210,4120
206,2976,29,14,651,228,4104
216,2988,33,16,696,206,4155
199,2971,31,13,693,209,4116
212,2979,31,14,683,218,4137
212,2995,28,17,693,224,4169
224,2969,30,14,643,218,4098
223,2988,30,16,682,218,4157
226,2976,29,15,677,219,4142
204,2985,30,16,704,236,4175
