clone,build,package,packagetests,symbols,clobber,total
77,2814,23,12,595,43,3564
87,2838,23,11,598,43,3600
90,2822,23,11,600,43,3589
89,2831,23,10,602,43,3598
90,2842,24,11,600,43,3610
90,2844,24,11,601,44,3614
89,2841,24,12,602,44,3612
88,2846,23,12,603,43,3615
88,2799,24,10,600,43,3564
88,2781,25,11,603,44,3552
89,2783,23,10,599,43,3547
90,2790,23,12,596,43,3554
89,2788,23,10,604,43,3557
88,2781,23,11,599,43,3545
90,2784,24,10,603,43,3554
88,2788,23,11,599,43,3552
89,2784,23,11,599,43,3549
89,2785,24,11,597,43,3549
89,2785,24,11,601,43,3553
90,2786,24,10,600,43,3553
89,2786,23,12,601,43,3554
90,2789,22,11,599,43,3554
89,2788,24,10,602,43,3556
90,2786,24,11,598,43,3552
90,2787,23,11,605,43,3559
90,2787,24,10,605,43,3559
90,2786,24,10,600,43,3553
