clone,build,package,packagetests,symbols,clobber,total
87,2599,22,13,689,48,3458
91,2611,23,12,689,48,3474
91,2617,23,12,690,46,3479
95,2637,22,11,691,47,3503
94,2637,22,12,687,47,3499
95,2637,23,12,690,47,3504
96,2640,22,14,688,47,3507
93,2636,23,13,693,47,3505
95,2631,22,12,691,47,3498
94,2580,22,12,695,47,3450
94,2584,21,12,690,47,3448
95,2582,22,13,695,47,3454
96,2588,22,13,685,47,3451
95,2579,22,12,688,48,3444
95,2581,22,13,694,47,3452
95,2586,21,12,692,47,3453
95,2604,21,13,686,47,3466
95,2582,22,13,690,46,3448
94,2585,23,13,689,47,3451
93,2582,21,13,687,47,3443
94,2584,22,12,689,47,3448
96,2585,22,13,687,47,3450
94,2583,22,12,689,46,3446
95,2581,22,13,693,47,3451
94,2580,21,12,692,47,3446
92,2577,22,12,693,47,3443
93,2579,22,12,698,46,3450
92,2581,23,12,696,47,3451
92,2577,23,12,693,47,3444
96,2597,22,11,687,47,3460
94,2593,23,12,689,46,3457
99,2589,22,13,685,47,3455
95,2580,23,12,690,46,3446
94,2583,22,13,692,47,3451
95,2582,22,12,693,47,3451
94,2582,21,13,688,47,3445
95,2588,21,12,689,47,3452
95,2585,22,13,689,47,3451
95,2584,21,14,693,47,3454
96,2584,22,12,685,47,3446
94,2579,22,13,689,47,3444
95,2584,22,12,703,47,3463
95,2581,21,14,686,47,3444
94,2585,21,12,695,47,3454
94,2580,21,14,685,47,3441
95,2581,22,12,697,47,3454
93,2577,22,14,692,47,3445
94,2578,22,11,696,47,3448
94,2580,22,11,697,47,3451
92,2577,23,12,690,47,3441
93,2579,24,11,696,47,3450
93,2577,22,13,697,47,3449
93,2582,22,12,685,47,3441
96,2596,23,13,695,47,3470
95,2600,22,14,691,47,3469
100,2590,22,12,689,48,3461
94,2582,22,13,691,47,3449
96,2589,22,12,687,47,3453
95,2584,22,13,685,47,3446
97,2587,22,13,685,47,3451
96,2586,23,12,690,46,3453
95,2585,22,13,692,46,3453
95,2587,22,12,690,47,3453
95,2589,21,14,691,47,3457
95,2585,21,12,691,48,3452
95,2586,22,13,693,48,3457
95,2585,22,12,695,47,3456
95,2582,22,13,700,47,3459
95,2581,22,12,706,47,3463
95,2582,22,14,707,47,3467
96,2584,22,13,705,47,3467
95,2595,22,13,713,47,3485
93,2581,22,11,708,47,3462
92,2582,22,12,712,47,3467
94,2583,22,12,707,47,3465
94,2586,22,12,712,48,3474
93,2582,22,12,710,48,3467
92,2582,22,13,708,59,3476
95,2581,22,13,709,48,3468
95,2607,22,11,713,47,3495
95,2598,23,13,709,47,3485
95,2599,22,12,709,47,3484
97,2594,22,12,709,48,3482
95,2589,22,13,704,47,3470
97,2590,23,12,707,47,3476
96,2594,22,13,702,47,3474
96,2593,21,14,710,48,3482
96,2592,22,13,706,47,3476
96,2591,22,13,704,48,3474
95,2591,22,12,707,48,3475
96,2595,21,14,704,48,3478
95,2596,22,13,703,48,3477
96,2592,23,14,708,47,3480
96,2588,21,14,706,48,3473
95,2593,22,12,710,48,3480
93,2592,22,14,708,47,3476
95,2597,22,14,706,48,3482
95,2598,22,13,705,48,3481
95,2595,23,13,701,48,3475
96,2600,22,14,708,47,3487
94,2597,23,14,704,46,3478
95,2596,22,14,713,47,3487
93,2595,22,12,715,48,3485
94,2595,22,13,710,48,3482
93,2597,22,11,711,48,3482
93,2602,22,13,712,47,3489
93,2596,23,12,716,48,3488
93,2599,22,13,738,48,3513
92,2605,22,13,710,57,3499
97,2627,23,11,714,47,3519
94,2622,22,12,708,47,3505
95,2626,23,11,713,47,3515
95,2627,23,13,711,48,3517
96,2617,22,11,703,48,3497
95,2614,22,13,707,47,3498
97,2610,22,14,705,48,3496
97,2613,22,13,706,48,3499
96,2613,22,13,708,48,3500
96,2617,22,13,709,47,3504
98,2615,22,12,707,48,3502
97,2615,22,13,710,47,3504
97,2617,22,13,717,47,3513
96,2616,23,12,713,48,3508
96,2623,21,14,709,47,3510
96,2613,22,12,711,47,3501
96,2620,22,14,708,48,3508
94,2617,22,14,708,48,3503
96,2616,22,13,710,48,3505
95,2618,22,13,705,48,3501
96,2617,21,14,710,48,3506
96,2614,22,14,707,48,3501
96,2615,22,13,716,47,3509
95,2613,22,13,708,49,3500
94,2616,22,14,712,48,3506
95,2612,22,12,712,48,3501
95,2611,23,14,703,47,3493
96,2617,23,13,709,48,3506
93,2610,22,12,727,48,3512
94,2607,22,12,713,48,3496
94,2610,22,12,732,48,3518
93,2606,22,13,714,48,3496
94,2608,22,12,712,48,3496
93,2604,22,13,718,48,3498
93,2607,23,11,716,48,3498
92,2607,22,13,716,48,3498
92,2609,22,12,709,72,3516
99,2619,22,14,707,48,3509
95,2627,23,12,708,48,3513
95,2632,23,12,709,48,3519
95,2628,22,13,720,49,3527
96,2636,22,11,716,48,3529
95,2631,22,13,705,48,3514
97,2614,22,14,708,48,3503
96,2615,22,12,705,48,3498
96,2621,22,14,709,48,3510
97,2617,22,11,705,48,3500
98,2617,22,13,713,49,3512
97,2615,22,13,704,48,3499
96,2618,22,13,707,48,3504
95,2618,23,13,710,48,3507
95,2620,23,12,711,49,3510
96,2616,23,12,705,49,3501
95,2619,23,13,709,48,3507
96,2621,22,14,710,48,3511
97,2616,23,13,708,49,3506
94,2621,22,13,707,49,3506
95,2619,23,13,705,48,3503
96,2621,23,13,701,48,3502
