clonestart,buildstart,packagestart,packagetestsstart,symbolsstart,clobberstart,finished,
1325788614,1325788738,1325791775,1325791807,1325791822,1325792508,1325792754,
1325792754,1325792975,1325796035,1325796064,1325796078,1325796726,1325796933,
1325796933,1325797141,1325800169,1325800199,1325800213,1325800895,1325801116,
1325801116,1325801333,1325804362,1325804391,1325804404,1325805120,1325805330,
1325805330,1325805535,1325808525,1325808555,1325808570,1325809259,1325809474,
1325809475,1325809683,1325812694,1325812724,1325812738,1325813391,1325813608,
1325813608,1325813813,1325816811,1325816840,1325816856,1325817553,1325817781,
1325817781,1325817992,1325820993,1325821023,1325821037,1325821681,1325821897,
1325821897,1325822109,1325825122,1325825151,1325825164,1325825810,1325826035,
1325826035,1325826254,1325829257,1325829286,1325829299,1325829999,1325830233,
1325830233,1325830429,1325833415,1325833444,1325833456,1325834164,1325834379,
1325834379,1325834592,1325837577,1325837605,1325837616,1325838330,1325838548,
1325838548,1325838747,1325841740,1325841770,1325841783,1325842478,1325842711,
1325842711,1325842905,1325845898,1325845928,1325845942,1325846585,1325846810,
1325846810,1325847018,1325850027,1325850057,1325850069,1325850718,1325850953,
1325850953,1325851151,1325854150,1325854181,1325854193,1325854890,1325855106,
1325855106,1325855317,1325858323,1325858353,1325858367,1325859073,1325859288,
1325859289,1325859472,
