clonestart,buildstart,packagestart,packagetestsstart,symbolsstart,clobberstart,finished,
1325788551,1325788631,1325791022,1325791045,1325791059,1325791785,1325791833,
1325791833,1325791928,1325794318,1325794340,1325794355,1325795065,1325795113,
1325795113,1325795207,1325797598,1325797620,1325797633,1325798349,1325798397,
1325798397,1325798490,1325800885,1325800907,1325800921,1325801630,1325801679,
1325801679,1325801775,1325804181,1325804204,1325804216,1325804928,1325804976,
1325804976,1325805072,1325807439,1325807460,1325807474,1325808184,1325808233,
1325808233,1325808328,1325810689,1325810711,1325810724,1325811433,1325811482,
1325811482,1325811578,1325813943,1325813965,1325813979,1325814685,1325814734,
1325814734,1325814830,1325817214,1325817237,1325817250,1325817958,1325818007,
1325818007,1325818102,1325820492,1325820515,1325820529,1325821233,1325821282,
1325821282,1325821377,1325823768,1325823790,1325823805,1325824513,1325824562,
1325824562,1325824657,1325827045,1325827068,1325827082,1325827803,1325827851,
1325827851,1325827946,1325830334,1325830356,1325830371,1325831082,1325831131,
1325831131,1325831225,1325833615,1325833638,1325833652,1325834364,1325834412,
1325834412,1325834505,1325836895,1325836917,1325836932,1325837637,1325837686,
1325837686,1325837783,1325840186,1325840210,1325840222,1325840934,1325840983,
1325840983,1325841078,1325843481,1325843503,1325843518,1325844224,1325844273,
1325844273,1325844369,1325846760,1325846782,1325846795,1325847503,1325847552,
1325847552,1325847649,1325850042,1325850064,1325850078,1325850783,1325850832,
1325850832,1325850928,1325853322,1325853346,1325853360,1325854063,1325854112,
1325854112,1325854207,1325856599,1325856622,1325856636,1325857339,1325857388,
1325857388,1325857483,1325859876,1325859899,1325859913,
